,,
,,
state,county,Count of recovered
,Pottawatomie County,63
,Pushmataha County,63
,Roger Mills County,59
,Rogers County,63
,Seminole County,63
,Sequoyah County,63
,Stephens County,63
,Texas County,63
,Tillman County,63
,Tulsa County,63
,Wagoner County,63
,Washington County,63
,Washita County,63
,Woods County,63
,Woodward County,63
Oklahoma Total,,4790
Tennessee,Anderson County,56
,Bedford County,56
,Benton County,56
,Bledsoe County,56
,Blount County,56
,Bradley County,56
,Campbell County,56
,Cannon County,56
,Carroll County,56
,Carter County,56
,Cheatham County,56
,Chester County,56
,Claiborne County,56
,Clay County,56
,Cocke County,56
,Coffee County,56
,Crockett County,56
,Cumberland County,56
,Davidson County,56
,Decatur County,56
,DeKalb County,56
,Dickson County,56
,Dyer County,56
,Fayette County,56
,Fentress County,56
,Franklin County,56
,Gibson County,56
,Giles County,56
,Grainger County,56
,Greene County,56
,Grundy County,56
,Hamblen County,56
,Hamilton County,56
,Hancock County,56
,Hardeman County,56
,Hardin County,56
,Hawkins County,56
,Haywood County,56
,Henderson County,56
,Henry County,56
,Hickman County,56
,Houston County,56
,Humphreys County,56
,Jackson County,56
,Jefferson County,56
,Johnson County,56
,Knox County,56
,Lake County,56
,Lauderdale County,56
,Lawrence County,56
,Lewis County,56
,Lincoln County,56
,Loudon County,56
,Macon County,56
,Madison County,56
,Marion County,56
,Marshall County,56
,Maury County,56
,McMinn County,56
,McNairy County,56
,Meigs County,56
,Monroe County,56
,Montgomery County,56
,Moore County,56
,Morgan County,56
,Obion County,56
,Overton County,56
,Perry County,56
,Pickett County,56
,Polk County,56
,Putnam County,56
,Rhea County,56
,Roane County,56
,Robertson County,56
,Rutherford County,56
,Scott County,56
,Sequatchie County,56
,Sevier County,56
,Shelby County,56
,Smith County,56
,Stewart County,56
,Sullivan County,56
,Sumner County,56
,Tipton County,56
,Trousdale County,56
,Unicoi County,56
,Union County,56
,Van Buren County,56
,Warren County,56
,Washington County,56
,Wayne County,56
,Weakley County,56
,White County,56
,Williamson County,56
,Wilson County,56
Tennessee Total,,5320
Texas,Harris County,198
Texas Total,,198
Grand Total,,59218
